titolo, durata, views, n_comments, n_like, genere, views, FF, paid, publ, max_quality
Angerfist - Yes W/Dead Karl, 207, 2780, 6, 17, Entertainment, 2780, true, False, 2008-07-03, 4
MNX SanMan14 SNL Wms FANCY DOUBLE BEAT, 176, 14463, 3, 0, Nonprofits & Activism, 14463, true, False, 2014-10-13, 4
Sylar 2009, 227, 1661, 0, 5, Pets & Animals, 1661, true, False, 2010-01-03, 5
声动亚洲群英会20120920：萧敬腾 王妃, 219, 11483, 5, 29, Entertainment, 11483, true, False, 2012-09-21, 3
Campamento de Manadas 2007 "En Busca de Nuevas Huellas", 128, 3291, 3, 8, Music, 3291, true, False, 2007-10-16, 3
スーパーマリオRPG：ねことしのやり方ーオノレンジャー, 426, 162718, 19, 61, Entertainment, 162718, true, False, 2008-05-01, 3
合唱組曲　おおさか風土記　より　かわり橋, 454, 2544, 0, 5, Music, 2544, true, False, 2010-01-03, 4
Озвучка Крутотенечка World of Tanks, 131, 21387, 1, 0, Gaming, 21387, true, False, 2014-03-09, 6
Springsteen Something in the Night 5/23/2009, 276, 4079, 7, 18, Entertainment, 4079, true, False, 2009-05-23, 4
Pokemon D/P/PT Galactic Boss Cyrus Remix, 252, 3102, 1, 36, People & Blogs, 3102, true, False, 2012-04-07, 4
Apostolic Jubilee 2014 Union City, 288, 2116, 0, 18, Music, 2116, true, False, 2014-05-26, 5
Folklorna grupa Univeziteta AL-KUDS  iz Palestine u UK "PALILULA"  08.05.2014.g., 383, 1695, 0, 14, Nonprofits & Activism, 1695, true, False, 2014-05-09, 5
Xerox Phaser 6121MFP - Ошибка проц. - ремень (Process error Belt), 188, 8782, 1, 58, Science & Technology, 8782, true, False, 2014-10-11, 5
White Knight Chronicles (Greaver Boss Fight), 295, 31417, 32, 20, Gaming, 31417, true, False, 2009-01-16, 4
KH2-96-The Christmas Theif, 393, 3830, 1, 13, Entertainment, 3830, true, False, 2007-10-21, 3
全然取れないUFOキャッチャー, 328, 10613, 3, 5, Gaming, 10613, true, False, 2011-07-16, 4
FIFA 13 UT | The Road To The Road To Glory #4: A Bit Of  Profit, 261, 4141, 15, 78, Gaming, 4141, true, False, 2012-09-22, 5
Western Tanager taking a bath -- Oropendola, 164, 6439, 7, 17, Pets & Animals, 6439, true, False, 2007-04-29, 3
明治大学交響楽団 5 ジュラシック・パーク Jurassic Park, 383, 7046, 6, 32, Music, 7046, true, False, 2012-12-09, 5
Flugshow Griesheim - Yak 55, 207, 3561, 2, 1, Travel & Events, 3561, true, False, 2008-09-17, 4
Popping in Central London | Stay Strong | Mindtrick, 214, 47529, 112, 708, Entertainment, 47529, true, False, 2013-02-02, 6
Spherification - Molecular Gastronomy S01E01, 298, 6445, 8, 55, Science & Technology, 6445, true, False, 2013-08-27, 6
Curió Pardo - Az de Ouro, 177, 5193, 16, 11, Pets & Animals, 5193, true, False, 2009-02-19, 4
UpCake - The world's first Neuro Game for girls! | PND, 143, 4357, 0, 9, Gaming, 4357, true, False, 2012-06-01, 6
Comó saber que procesador tiene tu movil o tablet, 302, 189711, 90, 810, People & Blogs, 189711, true, False, 2014-10-24, 5
pescasub:un "MOSTRO" con asta da 6.5......, 471, 205373, 69, 442, Entertainment, 205373, true, False, 2015-04-19, 6
Imagine Me Gone - The Stunners (7-5-10), 136, 1965, 1, 12, Music, 1965, true, False, 2010-07-06, 3
Ya Llego / Salsa dance fitness routine by Jilly Zumba, 299, 15140, 7, 87, Education, 15140, true, False, 2015-07-28, 5
FS2004: A340-600 Custom Sound Package, 208, 1991, 6, 14, Gaming, 1991, true, False, 2012-10-04, 4
διαβασμα καρδιας και εξηγηση κολπο με τραπουλα ( για τους ερωτευμενους μονο  ), 308, 29747, 8, 335, Entertainment, 29747, true, False, 2014-12-27, 6
Pro Evolution Soccer 2010 on BlackBerry Curve 8520 - Livomes, 214, 19883, 14, 37, Gaming, 19883, true, False, 2013-02-12, 4
Mercedes Benz Viano Fun footage driving scenes tuscany, 421, 1852, 0, 3, Autos & Vehicles, 1852, true, False, 2012-01-20, 4
KATATONIA - Dissolving Bonds - piano cover, 206, 4482, 14, 77, Music, 4482, true, False, 2008-12-30, 3
West Forreston & Blanding Narrow Gauge Railway, 155, 1226, 0, 2, Autos & Vehicles, 1226, true, False, 2008-05-03, 4
Mnet [M COUNTDOWN] Ep.397 : 보이프렌드(BOYFRIEND) - White Out + WITCH @MCOUNTDOWN_141009, 299, 169964, 233, 3949, Entertainment, 169964, true, False, 2014-10-09, 5
Gulliver Village Story Toys. Коллекция игрушек для детей, 225, 1011826, 0, 429, Entertainment, 1011826, true, False, 2015-06-10, 6
OffRoad 4х4. Mitsubishi Delica L400  ЗИМА (driving on snow), 217, 10033, 0, 25, News & Politics, 10033, true, False, 2014-10-19, 4
Hidayet Turkoglu vs Kevin Durant, 125, 18408, 0, 38, Sports, 18408, true, False, 2014-04-15, 6
TODO LISTO PARA EL DEBUT DE MINEROS DE ZACATECAS, 128, 1754, 0, 3, News & Politics, 1754, true, False, 2014-07-02, 4
วอร์สบาย สไตล์แกล้วกล้า - Clash of Clans, 181, 27952, 20, 189, Gaming, 27952, true, False, 2014-07-22, 7
Fly Tying "Foam Emerger", 248, 4910, 1, 24, Sports, 4910, true, False, 2010-09-27, 5
moto cavalcata 2009, 470, 1104, 0, 2, People & Blogs, 1104, true, False, 2009-07-29, 3
Alfred (Tyros 4) & Emoes (Zang en Accordeon)  Jij en ik, 149, 2341, 1, 2, Entertainment, 2341, true, False, 2011-06-26, 6
Final Fantasy X Music Video - Mad World, 243, 43405, 28, 216, Entertainment, 43405, true, False, 2006-12-16, 4
Gym Edit (Doubles  Codys  Corks), 147, 1211, 5, 36, Howto & Style, 1211, true, False, 2013-07-30, 6
ОИ-2012 Курамагомедов Заур - Тарик Азиз (Алжир) 60 кг., 354, 1940, 0, 4, Sports, 1940, true, False, 2012-08-06, 3
Subindo a serra Gaucha em direção a Gramado e Canela/RS., 183, 11635, 3, 29, Travel & Events, 11635, true, False, 2012-01-21, 4
Testing circuit breakers with OMICRON's CIBANO 500, 256, 57377, 8, 377, Science & Technology, 57377, true, False, 2013-02-12, 6
Ang Huling El Bimbo - Eraserheads (fingerstyle guitar cover), 362, 299383, 240, 1165, Music, 299383, true, False, 2012-04-10, 6
Makita - Perfurador de Solo à Gasolina PE3450HG, 143, 112185, 34, 514, Entertainment, 112185, true, False, 2013-10-04, 6
FIVE MILES TO TOWN--The Reed Island Rounders with Kirk Stuphin, 185, 4320, 0, 28, Music, 4320, true, False, 2011-01-22, 4
SasuSaku movie - This Time for Sure Part 7, 249, 18041, 18, 172, Film & Animation, 18041, true, False, 2012-09-16, 6
جريدة الأخبار اللبنانية اعتادت إحياء حفلات الأكاذيب, 139, 3786, 0, 5, News & Politics, 3786, true, False, 2012-03-22, 4
harry potter : el inicio (parodia), 297, 9424, 8, 24, Comedy, 9424, true, False, 2007-12-05, 4
Maharoof interview delhi daredevils, 127, 1867, 0, 6, Sports, 1867, true, False, 2008-04-29, 3
Difference of ecig vapor to cigarette smoke. A simple experiment, 358, 169249, 182, 1316, Entertainment, 169249, true, False, 2015-06-09, 5
Corsair Dominator Platinum DDR4 Memory Kits, 250, 23820, 12, 219, Science & Technology, 23820, true, False, 2014-09-01, 6
12 metre mast  for Power Predictor anemometer or antenna using scaffolding poles., 170, 3182, 0, 7, Science & Technology, 3182, true, False, 2010-10-04, 4
Инь-Ян "Карма", 245, 3504, 0, 18, Entertainment, 3504, true, False, 2010-11-13, 4
MW3 Team Dual Sniper Gameplay - Happiness? - Vikkstar123 ★, 330, 20160, 242, 1029, Gaming, 20160, true, False, 2012-10-19, 5
Garbage - "Battle in Me", 263, 16598, 11, 225, Entertainment, 16598, true, False, 2012-05-02, 5
Faith no more Caffeine Live, 363, 1970, 0, 11, Music, 1970, true, False, 2008-09-16, 3
football, 267, 2044, 4, 8, Sports, 2044, true, False, 2007-02-20, 3
Teenager driving 918 Spyder with huge crowd, 170, 14481, 18, 82, Autos & Vehicles, 14481, true, False, 2014-10-29, 6
How to find your way into the Well of Eternity Dungeon - World of Warcraft, 217, 47188, 9, 92, Gaming, 47188, true, False, 2011-12-16, 6
安安老師 雙色臘味鍋飯, 362, 49885, 10, 113, Howto & Style, 49885, true, False, 2012-04-30, 4
Guitar Lesson - We Fall Down (verse), 251, 21657, 2, 21, Music, 21657, true, False, 2009-05-27, 4
The Wolf of Wall Street - Featurette "Martin Scorsese" deutsch / german HD, 123, 29631, 1, 129, Film & Animation, 29631, true, False, 2014-05-29, 6
PICKIN' THE 'SHROOMS --  ABUS #41 40 MM LOCK PICK, 324, 2312, 3, 7, Education, 2312, true, False, 2009-03-03, 3
experimental felling fail - prospect hill, 156, 3734, 12, 14, Education, 3734, true, False, 2014-01-15, 5
Megavalanche Alpe  Mountain of Hell  Maxiavalanche Cervinia 2011, 421, 2030, 2, 12, Sports, 2030, true, False, 2012-03-26, 5
Batman - The Dark Knight - Interrogatorio (Español Loquendo), 236, 7025, 23, 43, Comedy, 7025, true, False, 2012-01-11, 4
KSI Uni Beast - Westminster University, 373, 318598, 464, 8674, Sports, 318598, true, False, 2014-05-18, 6
Whats in my camera bag HD, 480, 2919, 13, 12, People & Blogs, 2919, true, False, 2010-11-18, 5
Piala Malaysia 1993: Perak 1-2 Kedah, 425, 178869, 71, 346, Sports, 178869, true, False, 2008-01-21, 3
Corinthians 2 X 1 Santos - Paulista 2001 - YouTube.flv, 366, 31610, 40, 247, Gaming, 31610, true, False, 2012-03-02, 3
Highlights from the Urban Wildland Half Marathon, 390, 2481, 2, 4, Sports, 2481, true, False, 2010-08-09, 6
Stara Srbija - KUD Srem Jakovo - -  www.kudsrem.org.rs, 334, 1835, 4, 8, Music, 1835, true, False, 2009-02-23, 3
Aylesbury best ufo footage 1994, 162, 2843, 7, 15, Science & Technology, 2843, true, False, 2008-12-26, 4
Blumio Konzert  H.D.G.D.L 7.12 Berlin, 129, 1789, 2, 10, Music, 1789, true, False, 2009-12-08, 3
BMW E34 M50 520 Test Drive, 159, 3199, 1, 6, Autos & Vehicles, 3199, true, False, 2012-04-14, 3
Disney Store Unboxing Haul! Big Hero 6  Tinker Bell  Limited Edition Doll  Tsum Tsum!, 391, 2900, 9, 45, Film & Animation, 2900, true, False, 2015-03-07, 6
WASHING MACHINE OUTO PRODUCTION LINE, 347, 20534, 5, 0, Science & Technology, 20534, true, False, 2012-10-19, 4
Curly  Hair Styling Products, 261, 8316, 57, 165, Howto & Style, 8316, true, False, 2014-07-22, 6
Canteca de Macao - Los hijos del hambre (Kafe Antzokia  23 febrero 2013), 233, 1240, 0, 3, Music, 1240, true, False, 2013-03-05, 6
Τα σκυλακια μου!, 263, 13494, 3, 109, Howto & Style, 13494, true, False, 2012-03-03, 6
Nissan Navara off road 2, 264, 29147, 0, 25, People & Blogs, 29147, true, False, 2011-11-09, 4
Minus the Bear - The Game Needed Me, 187, 3123, 9, 6, People & Blogs, 3123, true, False, 2008-10-19, 4
Sambil Model Maracaibo 2009, 377, 2073, 0, 1, Nonprofits & Activism, 2073, true, False, 2009-05-13, 4
The Alfee・高見沢さんモデル・ギター『Flying A-V』解説 by高見沢俊彦さん, 257, 9680, 3, 91, People & Blogs, 9680, true, False, 2015-02-25, 3
2008 Hypercharged Honda Shadow Spirit 750, 246, 59652, 45, 66, Autos & Vehicles, 59652, true, False, 2009-10-13, 4
บรบือโมโตครอส รุ่นซุปฯ โอเพ่น, 327, 1916, 0, 2, Comedy, 1916, true, False, 2013-03-25, 5
urubu filhote, 135, 3713, 2, 11, Pets & Animals, 3713, true, False, 2011-01-11, 4
A Box of Lindt Chocolates, 377, 46242, 34, 141, Howto & Style, 46242, true, False, 2014-09-03, 6
Lake Catholic Football 2007 Preview, 176, 6566, 9, 9, Sports, 6566, true, False, 2007-04-10, 3
NA, NA, NA, 0, 0, NA, NA, NA, NA, NA, None
The Indian Air Force's Sarang Helicopter Aerobatics Team, 257, 1736, 0, 2, Entertainment, 1736, true, False, 2011-11-01, 3
Mega Man 10 (XBLA) Gameplay, 206, 1606, 6, 11, Gaming, 1606, true, False, 2010-03-31, 5
Charlotte Tilbury @ Selfridges The Collection - A little Preview, 132, 24843, 182, 1450, Howto & Style, 24843, true, False, 2013-09-02, 5
Jester n Namster vs. Excite n Keebz, 205, 1943, 3, 8, People & Blogs, 1943, true, False, 2009-09-03, 4
Fairouz in Concert Oct 2010 - LBC, 226, 10335, 2, 42, Music, 10335, true, False, 2010-10-19, 3
Vivien és Gábor 2012-07-14 Esküvő Pécel-Dabas, 225, 1568, 0, 0, Film & Animation, 1568, true, False, 2012-09-04, 5
Promo Real Sociedad 0-0 Manchester United 23-10-2013 HD, 179, 131493, 21, 97, Sports, 131493, true, False, 2013-09-02, 6
Cartoon Network Hall of Game Awards Returning?, 170, 6851, 132, 71, Entertainment, 6851, true, False, 2015-08-14, 3
Nisos - Prosfigaki, 237, 1862, 5, 3, Music, 1862, true, False, 2010-09-29, 3
People and Place at SEMA 2011 - Auto Show Highlights, 467, 1219, 0, 5, Autos & Vehicles, 1219, true, False, 2011-11-08, 5
σπίτια αρτέμιδα  σπίτια λούτσα  σπίτια όμορφα, 180, 7162, 0, 8, People & Blogs, 7162, true, False, 2011-09-16, 4
Israel Houghton & The New Breed Concert @ Lakewood Church, 341, 8429, 3, 29, Music, 8429, true, False, 2012-08-23, 5
Freestyle hiphop piano solo 1, 193, 5355, 2, 28, People & Blogs, 5355, true, False, 2012-08-14, 5
JS排氣管~三菱 Mitsubishi FORTIS1.8改牛角雙出排氣管 (聲音檔), 121, 4269, 0, 0, Autos & Vehicles, 4269, true, False, 2010-01-17, 4
Cute Panda Cub Fu Long in Action!, 151, 9891, 16, 69, Pets & Animals, 9891, true, False, 2008-11-07, 4
BLUI: Blowable user interface, 133, 77664, 7, 29, Science & Technology, 77664, true, False, 2007-11-13, 4
Видео обои - Пояс астероидов, 241, 13411, 0, 10, Film & Animation, 13411, true, False, 2012-11-09, 6
11th Annual Mitsubishi Evo Vs. Subaru WRX / STI & FR-S / BRZ Meet, 469, 5048, 9, 25, Autos & Vehicles, 5048, true, False, 2014-10-25, 6
El Antes Y El Después Banda San Juan (SantaMariaTequepexpan), 187, 2361, 0, 1, Music, 2361, true, False, 2013-02-23, 4
Arcade Fire Live Madison Square Garden August 5  2010 NYC Neighborhood #1 (Tunnels), 150, 3543, 2, 8, Music, 3543, true, False, 2010-08-06, 5
Como crear un nuevo usuario en tu PC  ( HD ), 302, 16538, 41, 41, Howto & Style, 16538, true, False, 2012-07-07, 5
Boneca Assanhada No Expresso brasil ...., 328, 1545, 0, 3, Music, 1545, true, False, 2009-10-15, 3
中井ちゃん　結婚式　その4　挙式（入場～讃美歌まで）, 286, 46364, 2, 43, Travel & Events, 46364, true, False, 2013-02-12, 4
깨미 - Curious Kemi_여우야  여우야 뭐하니?_#002, 254, 12219, 0, 4, Entertainment, 12219, true, False, 2013-03-30, 4
TOMKAT MUFFER muff hybrid fuzz demo with GJ2 Glendora & Dr Z MAZ 18, 300, 3058, 7, 29, Music, 3058, true, False, 2015-07-13, 5
YAMAHA WR250R in スラムパーク瀬戸 【2014年10月12日（日）】, 431, 3031, 0, 4, Autos & Vehicles, 3031, true, False, 2014-10-12, 4
'Gimme Shelter' Trailer, 147, 73863, 94, 823, Film & Animation, 73863, true, False, 2013-11-26, 6
LET IT RIDE Bachman Turner Overdrive Electric Guitar Lesson @EricBlackmonGuitar, 442, 51222, 90, 445, Music, 51222, true, False, 2014-02-11, 4
Dale Turner - Hole Notes #17 - John Lennon's Acoustic Technique - Part 1, 346, 28456, 32, 109, Entertainment, 28456, true, False, 2011-11-23, 6
NBA 2K14 | Yeni Fikir, 195, 14045, 60, 167, Gaming, 14045, true, False, 2014-04-19, 5
what if - nate x elena, 222, 3411, 20, 65, Film & Animation, 3411, true, False, 2012-07-08, 5
Adecool Halo Reach - Multiplayer Montage, 202, 1945, 8, 17, Gaming, 1945, true, False, 2011-07-28, 5
Karcher RC 4000 Умный Робот-пылесос в работе., 200, 22010, 12, 30, Science & Technology, 22010, true, False, 2013-03-20, 4
