titolo, durata, views, n_comments, n_like, genere, views, FF, paid, publ, max_quality
Сокровища пиратов уровень 958 прохождение на три звезды - pirate treasures level 958 walkthrough, 171, 57650, 12, 27, Gaming, 57650, true, False, 2014-08-22, 5
Spyder's Uncharted 3 Experience Part 1, 283, 21421, 114, 306, People & Blogs, 21421, true, False, 2012-05-14, 5
Arisxandra Libantino - I Have Nothing (Whitney Houston) - Semi Final [HD] Britain's Got Talent 2013, 133, 13200, 1, 105, Entertainment, 13200, true, False, 2013-07-10, 5
DiMarzio Illuminator com John Petrucci, 305, 1948, 0, 10, Music, 1948, true, False, 2015-04-27, 6
NA, NA, NA, 0, 0, NA, NA, NA, NA, NA, None
HRSportDE | EURO 2012: Slaven Bilic im Interview, 203, 2383, 0, 3, Science & Technology, 2383, true, False, 2012-06-05, 3
Lindsey Stirling Sings "We Found Love" Chicago, 208, 71722, 80, 1001, Music, 71722, true, False, 2013-05-12, 6
Review Nerf Centurion Mega Blaster Part 1, 146, 1218, 4, 12, Education, 1218, true, False, 2013-08-11, 4
Cheerleadingin SM-kilpailiu 2008  Funky Dance Shiners, 137, 1229, 0, 0, Sports, 1229, true, False, 2008-02-05, 4
ＨＧＵＣユニコーンガンダムのサンプルキット紹介, 394, 16738, 1, 7, Howto & Style, 16738, true, False, 2009-11-07, 4
(The Beatles) Here Comes the Sun [cover], 157, 2488, 7, 29, Music, 2488, true, False, 2009-04-24, 4
La canzone del Velo  Don Carlos G.Verdi, 279, 12243, 4, 25, Music, 12243, true, False, 2007-09-09, 4
Moshy Unleashed 3!, 254, 2304, 7, 9, Entertainment, 2304, true, False, 2006-10-15, 4
SUZUKI GSF 1250, 391, 32929, 3, 9, Autos & Vehicles, 32929, true, False, 2008-01-05, 3
Gojira - Planned Obsolescence Guitar Cover, 277, 1291, 10, 7, Music, 1291, true, False, 2012-06-26, 4
Drama - A HIJACKING - TRAILER | Johan Philip Asbæk  Soren Malling  Dar Salim, 122, 11143, 1, 4, Entertainment, 11143, false, False, 2013-04-22, None
Burung Teripas/Serindit a.k.a Blue Crowned Hanging Parrot, 180, 30859, 6, 49, Pets & Animals, 30859, true, False, 2012-11-01, 6
NA, NA, NA, 0, 0, NA, NA, NA, NA, NA, None
Pokemon Heart Gold and Soul Silver - What Version? Plus English Walkthrough Update., 180, 4582, 34, 17, Gaming, 4582, true, False, 2010-02-25, 4
Appelsinpiken - trailer, 129, 60178, 25, 112, Entertainment, 60178, true, False, 2009-01-05, 3
Oprócz Błękitnego Nieba, 148, 3141, 0, 24, Sports, 3141, true, False, 2014-11-22, 5
Ben Roethlisberger   My Hero, 237, 4773, 4, 41, Education, 4773, true, False, 2011-10-30, 4
Kingdom Hearts Music Video - Bring Me To Life - Evanescence, 249, 366331, 335, 1769, Entertainment, 366331, true, False, 2007-06-09, 4
CÁCH NẤU MÓN BÚN MỌC - ADTTODAY.BLOGSPOT.COM, 337, 8712, 0, 8, Autos & Vehicles, 8712, true, False, 2012-04-16, 3
UK weather October 2012 - Satellite imagery, 148, 1732, 2, 10, Science & Technology, 1732, true, False, 2012-11-14, 6
Michael Owen The New Number 7, 254, 29168, 37, 43, Sports, 29168, true, False, 2009-07-03, 5
[Fancam] Đất nước lời ru - Nguyễn Thiện Nhân, 275, 4363, 3, 44, People & Blogs, 4363, true, False, 2014-09-07, 8
GARDALAND BEACH AGO 2010, 128, 4620, 1, 5, Entertainment, 4620, true, False, 2010-12-22, 5
Finale Wind Orchestra 2013: 7 - Sekolah Seri Puteri - Vesuvius, 489, 27694, 23, 128, Music, 27694, true, False, 2013-06-16, 5
JR貨物 EF66 30号機 貨物列車1053レ 広島～横川 2011.3, 140, 1676, 1, 6, Autos & Vehicles, 1676, true, False, 2011-03-03, 6
Fred Flintstone VS Bart, 175, 3091, 1, 4, Gaming, 3091, true, False, 2009-08-25, 3
How to Play Ronan (Red Album) by Taylor Swift - Piano Tutorial, 243, 20879, 16, 173, Music, 20879, true, False, 2012-09-08, 5
desfile 16 de septiembre 2013 matamoros, 162, 1709, 1, 2, People & Blogs, 1709, true, False, 2013-09-16, 4
Rolls Royce Silver Seraph, 187, 4720, 2, 8, Autos & Vehicles, 4720, true, False, 2010-04-30, 3
Texas A&M Cheer Team Collegiate 6 Sports Club CheerSport Dallas Championship, 183, 4619, 0, 12, People & Blogs, 4619, true, False, 2014-02-02, 5
sailor moon collection, 177, 11243, 61, 62, People & Blogs, 11243, true, False, 2009-06-27, 4
LPS Commercial: WURLEY!, 290, 3943, 0, 67, Film & Animation, 3943, true, False, 2012-07-08, 5
Banda do Corinthians Péricles  Thiaguinho  Xis  Negra Li e Badauí - Hino do Corinthians, 148, 19426, 11, 112, Music, 19426, true, False, 2011-05-05, 3
occhi belli, 231, 6165, 1, 26, People & Blogs, 6165, false, False, 2012-12-21, None
Longboard Barcelona, 157, 2385, 3, 19, Sports, 2385, true, False, 2013-01-15, 6
Je Louerai (Clip Officiel)-Belette Manzambi feat Royaume Eternel, 231, 188769, 91, 1599, Music, 188769, true, False, 2015-08-21, 6
Рыбалка. Сорочьи Горы. 04.07.09г., 143, 4693, 0, 3, People & Blogs, 4693, true, False, 2009-07-05, 4
GELATO OREO [Le dolcezze di Viky], 292, 4016, 41, 131, Howto & Style, 4016, true, False, 2015-08-31, 6
Black Queen - BEG - Sixth Sense, 146, 1678, 1, 11, Music, 1678, true, False, 2012-03-13, 4
Freeman Power vs Neo Pakillo TOP 32 ARKA 2012, 147, 1330, 2, 5, Sports, 1330, true, False, 2012-11-07, 5
Bridge Over Troubled Water - Jason Coleman with Orchestra, 284, 18465, 3, 147, Music, 18465, true, False, 2013-02-18, 4
ドラゴンボールのキャラでもってけ！セーラーふく, 127, 32530, 8, 39, News & Politics, 32530, true, False, 2008-01-01, 3
Nightcore - Superstar, 183, 2806, 15, 0, Music, 2806, true, False, 2012-09-22, 6
2 Recumbent bikes descend into the Moorabool Valley, 142, 8067, 10, 18, Sports, 8067, true, False, 2012-02-17, 5
asmTV  GSA CASCIA 0-11 ASM FC  tous les buts, 134, 1835, 1, 2, Sports, 1835, true, False, 2013-07-07, 4
Carlos Baute - Colgando en tus manos - Guitar Cover, 228, 27810, 98, 105, Music, 27810, true, False, 2009-04-26, 4
【戦場の絆】　bubu　【時報】　鉱山４４　その２　１戦目, 337, 1117, 1, 0, Gaming, 1117, true, False, 2012-06-18, 4
358 Modifieds - 7/17/2010 - Grandview Speedway, 133, 2021, 0, 0, Sports, 2021, true, False, 2010-07-18, 4
How to play Scarborough Fair by Simon & Garfunkel, 324, 425829, 109, 1811, Music, 425829, true, False, 2011-04-29, 5
The Drax Files: World Makers [Episode 2: Jo Yardley], 300, 37301, 69, 258, Gaming, 37301, true, False, 2013-03-22, 5
suigetsu and sakura- the bad touch, 235, 8856, 5, 58, Film & Animation, 8856, true, False, 2009-08-14, 4
The US Could Never Protest Like Egypt Has - MoC #6 by comedian Lee Camp, 176, 10235, 37, 173, Comedy, 10235, true, False, 2011-02-11, 4
Pelican - Deny The Absolute, 338, 4148, 13, 77, Music, 4148, true, False, 2013-08-20, 4
Runescape: how to get duelist cap, 217, 1959, 4, 2, Gaming, 1959, true, False, 2011-06-04, 4
Light Graffiti & Lightpainting in Video, 178, 72501, 35, 364, Film & Animation, 72501, true, False, 2013-03-01, 6
Final Fantasy Tactics 51 失われた聖域, 211, 22774, 0, 7, Gaming, 22774, true, False, 2007-02-07, 3
Combat Arms Recargar NX Prepaid, 283, 5334, 4, 13, Gaming, 5334, true, False, 2010-08-19, 5
The Sims 2 Series: The Simple Life 1.07, 213, 2949, 18, 15, Entertainment, 2949, true, False, 2011-04-08, 4
NA, NA, NA, 0, 0, NA, NA, NA, NA, NA, None
Avenged Sevenfold Hail To The King Solo Lesson with Tab & backing track, 135, 9823, 4, 48, Music, 9823, true, False, 2013-09-12, 6
CeoBigDee-RichardSoIcey(DownNiggas), 286, 1891, 3, 51, Music, 1891, true, False, 2015-03-01, 5
REQUESTED | 2010 NAIL FUN/HAUL, 489, 1632, 16, 12, Howto & Style, 1632, true, False, 2010-06-21, 4
DJ SMASH & DJ MILLER FEAT. ANYA - ANGELS (Video), 208, 19139, 19, 146, People & Blogs, 19139, true, False, 2013-03-14, 6
Rift: The High Ground Achievement, 151, 1923, 7, 9, Gaming, 1923, true, False, 2012-12-07, 6
NA, NA, NA, 0, 0, NA, NA, NA, NA, NA, None
Delicious Sticky Puffs!!, 276, 44350, 226, 1349, Howto & Style, 44350, true, False, 2013-01-07, 5
StuntDummyz Ridin, 193, 39509, 3, 13, Entertainment, 39509, true, False, 2007-08-27, 4
RFactor Testing Illegal Street Mod(ISM), 198, 3239, 5, 8, Gaming, 3239, true, False, 2014-07-02, 6
Miniramp team clash, 359, 1550, 0, 5, Entertainment, 1550, true, False, 2010-08-30, 4
Neil- children's hunter/ mini medal horse for sale, 199, 2477, 2, 7, Pets & Animals, 2477, true, False, 2009-09-22, 3
Essiccazione Mais 2014 By Az. Agr. Moretto, 216, 11536, 10, 44, Autos & Vehicles, 11536, true, False, 2014-10-29, 5
PSY - IT'S ART, 286, 1089, 0, 1, Music, 1089, true, False, 2012-11-19, 4
WYWAS It Was You (Friendship MEP), 255, 2566, 8, 53, Film & Animation, 2566, true, False, 2014-04-19, 5
MH/EAH stop motion- the new ghouls, 216, 29989, 0, 289, Entertainment, 29989, true, False, 2013-12-30, 4
Dr. Muelitas y los Defensores de los Dientes - Parte 04, 199, 26836, 3, 0, People & Blogs, 26836, true, False, 2014-02-28, 6
Nike Kobe 9 Elite Low Beethoven, 167, 1669, 1, 7, People & Blogs, 1669, true, False, 2014-08-18, 5
98 Civic Hatch Bodywork and paint Timeline, 256, 3342, 6, 14, Autos & Vehicles, 3342, true, False, 2010-06-10, 4
FNAF 1 2 3 Has Sparta remix V2!, 134, 11062, 28, 109, People & Blogs, 11062, true, False, 2015-07-13, 6
Jeito Inocente Gravação DVD HANGAR, 272, 1656, 0, 2, Music, 1656, true, False, 2008-08-10, 3
05/28/2010 Gig log Riverfest After Party @ The Metroplex, 269, 2652, 4, 2, People & Blogs, 2652, true, False, 2010-06-02, 3
Panqueca Integral, 162, 1243, 2, 7, Howto & Style, 1243, true, False, 2012-05-11, 6
Casper (1995) - Die Geistergrippe, 447, 24594, 3, 37, Film & Animation, 24594, true, False, 2012-02-05, 4
Bologna - Cagliari 3-0 All Highlights & Goals (03/03/2013), 208, 8610, 0, 0, Sports, 8610, true, False, 2013-03-03, 3
Solo Muito Rapido de Guitarra - Leonardo Bischoff, 166, 7969, 20, 19, Entertainment, 7969, true, False, 2010-01-01, 4
Cocina Novoandina-Entrevista a Cucho La Rosa Fundamentos de la Información., 449, 8723, 8, 26, News & Politics, 8723, true, False, 2008-11-25, 4
Kerala Hindu Wedding Highlights Kailas + Divya, 309, 541736, 78, 936, Film & Animation, 541736, true, False, 2015-08-09, 6
Dans Ramblers - "A Hard Day's Night"  - для философского факультета МГУ, 178, 2768, 2, 25, Music, 2768, true, False, 2013-05-01, 5
ゆず　ライブ「GO HOME」　てっぺん, 222, 18136, 9, 80, People & Blogs, 18136, true, False, 2015-02-06, 3
Chasseral 3.2.08 / Unofficial Gin kites video, 133, 5522, 2, 4, Sports, 5522, true, False, 2008-02-04, 4
Overlord with Crystal Focus V4, 183, 3032, 3, 8, Entertainment, 3032, true, False, 2008-07-11, 3
auch Ponys können springen, 210, 4375, 4, 21, Pets & Animals, 4375, true, False, 2012-06-14, 5
Ejercicios y fortalecimiento del cuadriceps en casa  nivel 3, 372, 217516, 38, 3653, Education, 217516, true, False, 2015-08-28, 5
